u,v,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
markkoenig,rickbuy,0.43429448190325176,0.125,18,0.1,1,2,3,6,12,25,0.0,0.26666666666666666,1
travismccullough,sarahnovosel,0.0,0.0,8,0.0,0,4,4,2,4,6,0.3333333333333333,0.0,1
travismccullough,kaymann,0.36067376022224085,0.08333333333333333,40,0.0625,1,2,4,10,4,38,0.3333333333333333,0.07142857142857142,1
travismccullough,tanajones,0.36067376022224085,0.07142857142857142,44,0.0625,1,2,4,11,4,58,0.3333333333333333,0.32727272727272727,1
travismccullough,stephaniepanus,0.0,0.0,32,0.0,0,3,4,8,4,59,0.3333333333333333,0.2857142857142857,1
stuartzisman,brianredmond,0.0,0.0,3,0.0,0,4,1,3,1,13,0.0,0.3333333333333333,1
stuartzisman,geraldnemec,0.0,0.0,4,0.0,0,3,1,4,1,22,0.0,0.0,1
dutchquigley,edwardsacks,0.0,0.0,36,0.0,0,3,6,6,72,17,0.5,0.7333333333333333,1
andyzipper,johnlavorato,1.4726618078871099,0.12,132,0.39090909090909093,3,2,6,22,31,124,0.4,0.15584415584415584,1
andyzipper,louisekitchen,0.8513268733274981,0.0625,168,0.19090909090909092,2,2,6,28,31,148,0.4,0.11904761904761904,1
davidbaumbach,chrisabel,0.0,0.0,1,0.0,0,6,1,1,8,4,0.0,0.0,1
wescolwell,richardcausey,0.40242960438184466,0.25,4,0.08333333333333333,1,2,4,1,7,3,0.5,0.0,1
wescolwell,raymondbowen,0.7025312328822577,0.2,32,0.11904761904761904,2,2,4,8,7,39,0.5,0.2857142857142857,1
wescolwell,robmilnthorp,0.3001016285004131,0.16666666666666666,12,0.03571428571428571,1,2,4,3,7,14,0.5,1.0,1
marcusnettelton,kaymann,0.36067376022224085,0.07692307692307693,50,0.0625,1,2,5,10,15,38,0.4,0.07142857142857142,1
marcusnettelton,danadavis,0.0,0.0,10,0.0,0,3,5,2,15,4,0.4,0.0,1
marcusnettelton,lesliereeves,0.713629884087002,0.2857142857142857,20,0.1213235294117647,2,2,5,4,15,14,0.4,0.5,1
marcusnettelton,edwardsacks,1.082899257155857,0.375,30,0.18799019607843137,3,2,5,6,15,17,0.4,0.7333333333333333,1
marcusnettelton,stephaniepanus,0.36926937306885504,0.08333333333333333,40,0.06666666666666667,1,2,5,8,15,59,0.4,0.2857142857142857,1
davidforster,brianredmond,0.3001016285004131,0.16666666666666666,12,0.03571428571428571,1,2,4,3,8,13,0.6666666666666666,0.3333333333333333,1
davidforster,timbelden,0.6236170816490856,0.2222222222222222,28,0.08116883116883117,2,2,4,7,8,39,0.6666666666666666,0.2857142857142857,1
davidforster,lauraluce,0.3001016285004131,0.2,8,0.03571428571428571,1,2,4,2,8,18,0.6666666666666666,0.0,1
davidforster,elizabethsager,0.3001016285004131,0.05263157894736842,64,0.03571428571428571,1,2,4,16,8,80,0.6666666666666666,0.2,1
sarahnovosel,travismccullough,0.0,0.0,8,0.0,0,4,2,4,6,4,0.0,0.3333333333333333,1
sarahnovosel,timbelden,0.0,0.0,14,0.0,0,3,2,7,6,39,0.0,0.2857142857142857,1
sarahnovosel,elizabethlinnell,0.5138983423697507,0.5,2,0.14285714285714285,1,2,2,1,6,4,0.0,0.0,1
stephaniesever,scottneal,0.0,0.0,12,0.0,0,3,2,6,4,16,0.0,0.6666666666666666,1
stephaniesever,johnarnold,0.4170323914242463,0.08333333333333333,22,0.09090909090909091,1,2,2,11,4,161,0.0,0.2545454545454545,1
kaymann,travismccullough,0.36067376022224085,0.08333333333333333,40,0.0625,1,2,10,4,38,4,0.07142857142857142,0.3333333333333333,1
kaymann,marcusnettelton,0.36067376022224085,0.07692307692307693,50,0.0625,1,2,10,5,38,15,0.07142857142857142,0.4,1
kaymann,drewfossum,0.0,0.0,60,0.0,0,3,10,6,38,57,0.07142857142857142,0.26666666666666666,1
kaymann,lisamellencamp,2.7136080277380414,0.25,60,0.8958333333333333,3,2,10,6,38,25,0.07142857142857142,0.06666666666666667,1
kaymann,geraldnemec,0.7213475204444817,0.08333333333333333,40,0.25,1,2,10,4,38,22,0.07142857142857142,0.0,1
lindydonoho,lorrainelindberg,1.9295581866162612,0.4444444444444444,40,0.503968253968254,4,2,8,5,44,13,0.5,1.0,1
danadavis,marcusnettelton,0.0,0.0,10,0.0,0,3,2,5,4,15,0.0,0.4,1
lesliereeves,marcusnettelton,0.713629884087002,0.2857142857142857,20,0.1213235294117647,2,2,4,5,14,15,0.5,0.4,1
lesliereeves,edwardsacks,1.0137315125874151,0.42857142857142855,24,0.15703781512605042,3,2,4,6,14,17,0.5,0.7333333333333333,1
lesliereeves,jeffdasovich,0.0,0.0,56,0.0,0,3,4,14,14,138,0.5,0.12121212121212122,1
brianredmond,stuartzisman,0.0,0.0,3,0.0,0,4,3,1,13,1,0.3333333333333333,0.0,1
brianredmond,davidforster,0.3001016285004131,0.16666666666666666,12,0.03571428571428571,1,2,3,4,13,8,0.3333333333333333,0.6666666666666666,1
brianredmond,jimschwieger,0.0,0.0,15,0.0,0,3,3,5,13,22,0.3333333333333333,0.2,1
brianredmond,inarangel,0.0,0.0,30,0.0,0,3,3,10,13,154,0.3333333333333333,0.2222222222222222,1
mikegrigsby,louisekitchen,0.7578099350519243,0.05,392,0.14545454545454545,2,2,14,28,118,148,0.1978021978021978,0.11904761904761904,1
brenthendry,stephaniepanus,0.0,0.0,48,0.0,0,3,6,8,9,59,0.5333333333333333,0.2857142857142857,1
brenthendry,sarashackleton,2.5427519516765305,0.4,90,0.5763559969442322,6,2,6,15,9,101,0.5333333333333333,0.3142857142857143,1
brenthendry,alanaronowitz,1.1870209067132538,0.3333333333333333,36,0.24064171122994654,3,2,6,6,9,142,0.5333333333333333,0.4,1
molliegustafson,johnlavorato,0.43429448190325176,0.045454545454545456,22,0.1,1,2,1,22,1,124,0.0,0.15584415584415584,1
molliegustafson,louisekitchen,0.43429448190325176,0.03571428571428571,28,0.1,1,2,1,28,1,148,0.0,0.11904761904761904,1
jimschwieger,brianredmond,0.0,0.0,15,0.0,0,3,5,3,22,13,0.2,0.3333333333333333,1
sheilatweed,michellecash,0.0,0.0,20,0.0,0,3,2,10,3,30,0.0,0.24444444444444444,1
sheilaglover,garyhickerson,0.36926937306885504,0.2,8,0.06666666666666667,1,2,4,2,25,2,0.6666666666666666,1.0,1
sheilaglover,sallybeck,0.0,0.0,36,0.0,0,3,4,9,25,27,0.6666666666666666,0.19444444444444445,1
timbelden,davidforster,0.6236170816490856,0.2222222222222222,28,0.08116883116883117,2,2,7,4,39,8,0.2857142857142857,0.6666666666666666,1
timbelden,sarahnovosel,0.0,0.0,14,0.0,0,3,7,2,39,6,0.2857142857142857,0.0,1
timbelden,suzanneadams,0.0,0.0,21,0.0,0,3,7,3,39,17,0.2857142857142857,0.6666666666666666,1
rodhayslett,juliearmstrong,2.3891233788817123,0.25,96,0.7277777777777777,4,2,12,8,109,16,0.16666666666666666,0.4642857142857143,1
garyhickerson,sheilaglover,0.36926937306885504,0.2,8,0.06666666666666667,1,2,2,4,2,25,1.0,0.6666666666666666,1
garyhickerson,sallybeck,0.3001016285004131,0.1,18,0.03571428571428571,1,2,2,9,2,27,1.0,0.19444444444444445,1
ericbass,torikuykendall,0.6213349345596119,0.125,18,0.2,1,2,3,6,33,15,0.0,0.3333333333333333,1
suzanneadams,timbelden,0.0,0.0,21,0.0,0,3,3,7,17,39,0.6666666666666666,0.2857142857142857,1
suzanneadams,louisekitchen,0.36067376022224085,0.03333333333333333,84,0.0625,1,2,3,28,17,148,0.6666666666666666,0.11904761904761904,1
drewfossum,kaymann,0.0,0.0,60,0.0,0,3,6,10,57,38,0.26666666666666666,0.07142857142857142,1
juliearmstrong,rodhayslett,2.3891233788817123,0.25,96,0.7277777777777777,4,2,8,12,16,109,0.4642857142857143,0.16666666666666666,1
juliearmstrong,rickbuy,0.0,0.0,48,0.0,0,3,8,6,16,25,0.4642857142857143,0.26666666666666666,1
johnlavorato,andyzipper,1.4726618078871099,0.12,132,0.39090909090909093,3,2,22,6,124,31,0.15584415584415584,0.4,1
johnlavorato,molliegustafson,0.43429448190325176,0.045454545454545456,22,0.1,1,2,22,1,124,1,0.15584415584415584,0.0,1
johnlavorato,johnambler,0.0,0.0,22,0.0,0,3,22,1,124,4,0.15584415584415584,0.0,1
johnlavorato,elizabethsager,0.3001016285004131,0.02702702702702703,352,0.03571428571428571,1,2,22,16,124,80,0.15584415584415584,0.2,1
johnambler,johnlavorato,0.0,0.0,22,0.0,0,3,1,22,4,124,0.0,0.15584415584415584,1
johnambler,michellecash,0.0,0.0,10,0.0,0,4,1,10,4,30,0.0,0.24444444444444444,1
johnambler,louisekitchen,0.0,0.0,28,0.0,0,3,1,28,4,148,0.0,0.11904761904761904,1
johnambler,gregwhalley,0.9102392266268373,0.1,10,0.3333333333333333,1,2,1,10,4,53,0.0,0.28888888888888886,1
kevinhyatt,michellelokay,2.5994721611220526,0.5,54,0.7261904761904762,5,2,6,9,23,61,0.4666666666666667,0.5,1
info,elizabethsager,0.36926937306885504,0.05555555555555555,48,0.06666666666666667,1,2,3,16,10,80,0.0,0.2,1
info,geraldnemec,0.0,0.0,12,0.0,0,4,3,4,10,22,0.0,0.0,1
richardcausey,wescolwell,0.40242960438184466,0.25,4,0.08333333333333333,1,2,1,4,3,7,0.0,0.5,1
richardcausey,rosaleefleming,0.0,0.0,1,0.0,0,5,1,1,3,2,0.0,0.0,1
michellecash,sheilatweed,0.0,0.0,20,0.0,0,3,10,2,30,3,0.24444444444444444,0.0,1
michellecash,johnambler,0.0,0.0,10,0.0,0,4,10,1,30,4,0.24444444444444444,0.0,1
michellecash,arsystem,0.0,0.0,60,0.0,0,3,10,6,30,19,0.24444444444444444,0.13333333333333333,1
sallybeck,sheilaglover,0.0,0.0,36,0.0,0,3,9,4,27,25,0.19444444444444445,0.6666666666666666,1
sallybeck,garyhickerson,0.3001016285004131,0.1,18,0.03571428571428571,1,2,9,2,27,2,0.19444444444444445,1.0,1
sallybeck,elizabethsager,1.0214491489448947,0.08695652173913043,144,0.2857142857142857,2,2,9,16,27,80,0.19444444444444445,0.2,1
sallybeck,amyfitzpatrick,0.7343961104036649,0.2222222222222222,18,0.13571428571428573,2,2,9,2,27,6,0.19444444444444445,1.0,1
shelleycorman,cindyolson,0.0,0.0,15,0.0,0,4,5,3,20,4,0.4,0.3333333333333333,1
shelleycorman,michellelokay,1.3642262983078204,0.2727272727272727,45,0.3333333333333333,3,2,5,9,20,61,0.4,0.5,1
edwardsacks,dutchquigley,0.0,0.0,36,0.0,0,3,6,6,17,72,0.7333333333333333,0.5,1
edwardsacks,marcusnettelton,1.082899257155857,0.375,30,0.18799019607843137,3,2,6,5,17,15,0.7333333333333333,0.4,1
edwardsacks,lesliereeves,1.0137315125874151,0.42857142857142855,24,0.15703781512605042,3,2,6,4,17,14,0.7333333333333333,0.5,1
edwardsacks,lisamellencamp,0.36067376022224085,0.09090909090909091,36,0.0625,1,2,6,6,17,25,0.7333333333333333,0.06666666666666667,1
edwardsacks,stephaniepanus,0.36926937306885504,0.07692307692307693,48,0.06666666666666667,1,2,6,8,17,59,0.7333333333333333,0.2857142857142857,1
cindyolson,shelleycorman,0.0,0.0,15,0.0,0,4,3,5,4,20,0.3333333333333333,0.4,1
scottneal,stephaniesever,0.0,0.0,12,0.0,0,3,6,2,16,4,0.6666666666666666,0.0,1
scottneal,chrisgaskill,0.3789231816899512,0.14285714285714285,18,0.07142857142857142,1,2,6,3,16,7,0.6666666666666666,0.3333333333333333,1
torikuykendall,ericbass,0.6213349345596119,0.125,18,0.2,1,2,6,3,15,33,0.3333333333333333,0.0,1
torikuykendall,jayreitmeyer,1.2302500550174493,0.375,30,0.2623376623376623,3,2,6,5,15,40,0.3333333333333333,0.5,1
torikuykendall,barrytycholiz,0.8132176635932029,0.14285714285714285,60,0.17142857142857143,2,2,6,10,15,41,0.3333333333333333,0.17777777777777778,1
raymondbowen,wescolwell,0.7025312328822577,0.2,32,0.11904761904761904,2,2,8,4,39,7,0.2857142857142857,0.5,1
raymondbowen,rosaleefleming,0.0,0.0,8,0.0,0,4,8,1,39,2,0.2857142857142857,0.0,1
raymondbowen,kennethlay,0.6236170816490856,0.18181818181818182,40,0.08116883116883117,2,2,8,5,39,34,0.2857142857142857,0.3,1
raymondbowen,jamesderrick,0.0,0.0,40,0.0,0,3,8,5,39,19,0.2857142857142857,0.2,1
lisamellencamp,kaymann,2.7136080277380414,0.25,60,0.8958333333333333,3,2,6,10,25,38,0.06666666666666667,0.07142857142857142,1
lisamellencamp,edwardsacks,0.36067376022224085,0.09090909090909091,36,0.0625,1,2,6,6,25,17,0.06666666666666667,0.7333333333333333,1
lisamellencamp,sarashackleton,0.36067376022224085,0.05,90,0.0625,1,2,6,15,25,101,0.06666666666666667,0.3142857142857143,1
lisamellencamp,tanyarohauer,0.36067376022224085,0.0625,66,0.0625,1,2,6,11,25,56,0.06666666666666667,0.41818181818181815,1
lisamellencamp,alanaronowitz,0.0,0.0,36,0.0,0,3,6,6,25,142,0.06666666666666667,0.4,1
lisamellencamp,brittdavis,0.6213349345596119,0.125,18,0.2,1,2,6,3,25,10,0.06666666666666667,0.3333333333333333,1
jayreitmeyer,torikuykendall,1.2302500550174493,0.375,30,0.2623376623376623,3,2,5,6,40,15,0.5,0.3333333333333333,1
tanajones,travismccullough,0.36067376022224085,0.07142857142857142,44,0.0625,1,2,11,4,58,4,0.32727272727272727,0.3333333333333333,1
tanajones,russelldiamond,0.0,0.0,11,0.0,0,3,11,1,58,5,0.32727272727272727,0.0,1
tanajones,tanyarohauer,2.80637813522102,0.4666666666666667,121,0.5809194890077243,7,2,11,11,58,56,0.32727272727272727,0.41818181818181815,1
elizabethlinnell,sarahnovosel,0.5138983423697507,0.5,2,0.14285714285714285,1,2,1,2,4,6,0.0,0.0,1
elizabethlinnell,jeffdasovich,0.5138983423697507,0.07692307692307693,14,0.14285714285714285,1,2,1,14,4,138,0.0,0.12121212121212122,1
elizabethlinnell,kennethlay,0.0,0.0,5,0.0,0,3,1,5,4,34,0.0,0.3,1
russelldiamond,tanajones,0.0,0.0,11,0.0,0,3,1,11,5,58,0.0,0.32727272727272727,1
russelldiamond,geraldnemec,0.0,0.0,4,0.0,0,5,1,4,5,22,0.0,0.0,1
marieheard,stephaniepanus,3.945017093798837,0.3888888888888889,136,1.1615440115440114,7,2,17,8,171,59,0.27205882352941174,0.2857142857142857,1
marieheard,louisekitchen,3.439663911575737,0.18421052631578946,476,0.914520202020202,7,2,17,28,171,148,0.27205882352941174,0.11904761904761904,1
stephaniepanus,travismccullough,0.0,0.0,32,0.0,0,3,8,4,59,4,0.2857142857142857,0.3333333333333333,1
stephaniepanus,marcusnettelton,0.36926937306885504,0.08333333333333333,40,0.06666666666666667,1,2,8,5,59,15,0.2857142857142857,0.4,1
stephaniepanus,brenthendry,0.0,0.0,48,0.0,0,3,8,6,59,9,0.2857142857142857,0.5333333333333333,1
stephaniepanus,edwardsacks,0.36926937306885504,0.07692307692307693,48,0.06666666666666667,1,2,8,6,59,17,0.2857142857142857,0.7333333333333333,1
stephaniepanus,marieheard,3.945017093798837,0.3888888888888889,136,1.1615440115440114,7,2,8,17,59,171,0.2857142857142857,0.27205882352941174,1
stephaniepanus,susanbailey,1.3002001068628521,0.2,80,0.30043290043290044,3,2,8,10,59,61,0.2857142857142857,0.4444444444444444,1
stephaniepanus,tanyarohauer,2.1038471333780024,0.26666666666666666,88,0.5944444444444444,4,2,8,11,59,56,0.2857142857142857,0.41818181818181815,1
stephaniepanus,elizabethsager,0.7863017644931014,0.09090909090909091,128,0.1575757575757576,2,2,8,16,59,80,0.2857142857142857,0.2,1
stephaniepanus,geraldnemec,0.0,0.0,32,0.0,0,3,8,4,59,22,0.2857142857142857,0.0,1
jeffdasovich,lesliereeves,0.0,0.0,56,0.0,0,3,14,4,138,14,0.12121212121212122,0.5,1
jeffdasovich,elizabethlinnell,0.5138983423697507,0.07692307692307693,14,0.14285714285714285,1,2,14,1,138,4,0.12121212121212122,0.0,1
jeffdasovich,arsystem,0.0,0.0,84,0.0,0,3,14,6,138,19,0.12121212121212122,0.13333333333333333,1
jeffdasovich,michellelokay,0.40242960438184466,0.047619047619047616,126,0.08333333333333333,1,2,14,9,138,61,0.12121212121212122,0.5,1
marycook,louisekitchen,2.2631967778178366,0.14705882352941177,308,0.5534090909090909,5,2,11,28,125,148,0.4909090909090909,0.11904761904761904,1
laureladams,sarashackleton,0.9947966893327386,0.125,45,0.26785714285714285,2,2,3,15,35,101,0.6666666666666666,0.3142857142857143,1
larrycampbell,lorrainelindberg,0.0,0.0,5,0.0,0,3,1,5,4,13,0.0,1.0,1
inarangel,brianredmond,0.0,0.0,30,0.0,0,3,10,3,154,13,0.2222222222222222,0.3333333333333333,1
inarangel,frankermis,1.000258116249563,0.16666666666666666,40,0.27142857142857146,2,2,10,4,154,54,0.2222222222222222,0.8333333333333334,1
susanbailey,stephaniepanus,1.3002001068628521,0.2,80,0.30043290043290044,3,2,10,8,61,59,0.4444444444444444,0.2857142857142857,1
janetdietrich,davidoxley,0.6236170816490856,0.2222222222222222,30,0.08116883116883117,2,2,5,6,28,32,0.7,0.6666666666666666,1
janetdietrich,rickbuy,0.32351545314867247,0.1,30,0.045454545454545456,1,2,5,6,28,25,0.7,0.26666666666666666,1
louisekitchen,andyzipper,0.8513268733274981,0.0625,168,0.19090909090909092,2,2,28,6,148,31,0.11904761904761904,0.4,1
louisekitchen,mikegrigsby,0.7578099350519243,0.05,392,0.14545454545454545,2,2,28,14,148,118,0.11904761904761904,0.1978021978021978,1
louisekitchen,molliegustafson,0.43429448190325176,0.03571428571428571,28,0.1,1,2,28,1,148,1,0.11904761904761904,0.0,1
louisekitchen,suzanneadams,0.36067376022224085,0.03333333333333333,84,0.0625,1,2,28,3,148,17,0.11904761904761904,0.6666666666666666,1
louisekitchen,johnambler,0.0,0.0,28,0.0,0,3,28,1,148,4,0.11904761904761904,0.0,1
louisekitchen,marieheard,3.439663911575737,0.18421052631578946,476,0.914520202020202,7,2,28,17,148,171,0.11904761904761904,0.27205882352941174,1
louisekitchen,marycook,2.2631967778178366,0.14705882352941177,308,0.5534090909090909,5,2,28,11,148,125,0.11904761904761904,0.4909090909090909,1
louisekitchen,arsystem,0.36067376022224085,0.030303030303030304,168,0.0625,1,2,28,6,148,19,0.11904761904761904,0.13333333333333333,1
louisekitchen,rickbuy,1.860043216574524,0.13333333333333333,168,0.47045454545454546,4,2,28,6,148,25,0.11904761904761904,0.26666666666666666,1
lorrainelindberg,lindydonoho,1.9295581866162612,0.4444444444444444,40,0.503968253968254,4,2,5,8,13,44,1.0,0.5,1
lorrainelindberg,larrycampbell,0.0,0.0,5,0.0,0,3,5,1,13,4,1.0,0.0,1
rosaleefleming,richardcausey,0.0,0.0,1,0.0,0,5,1,1,2,3,0.0,0.0,1
rosaleefleming,raymondbowen,0.0,0.0,8,0.0,0,4,1,8,2,39,0.0,0.2857142857142857,1
rosaleefleming,davidoxley,0.0,0.0,6,0.0,0,3,1,6,2,32,0.0,0.6666666666666666,1
rosaleefleming,rickbuy,0.0,0.0,6,0.0,0,3,1,6,2,25,0.0,0.26666666666666666,1
barrytycholiz,torikuykendall,0.8132176635932029,0.14285714285714285,60,0.17142857142857143,2,2,10,6,41,15,0.17777777777777778,0.3333333333333333,1
barrytycholiz,davidoxley,0.6236170816490856,0.14285714285714285,60,0.08116883116883117,2,2,10,6,41,32,0.17777777777777778,0.6666666666666666,1
barrytycholiz,arsystem,0.3789231816899512,0.06666666666666667,60,0.07142857142857142,1,2,10,6,41,19,0.17777777777777778,0.13333333333333333,1
sarashackleton,brenthendry,2.5427519516765305,0.4,90,0.5763559969442322,6,2,15,6,101,9,0.3142857142857143,0.5333333333333333,1
sarashackleton,lisamellencamp,0.36067376022224085,0.05,90,0.0625,1,2,15,6,101,25,0.3142857142857143,0.06666666666666667,1
sarashackleton,laureladams,0.9947966893327386,0.125,45,0.26785714285714285,2,2,15,3,101,35,0.3142857142857143,0.6666666666666666,1
sarashackleton,alanaronowitz,1.6679192536762417,0.23529411764705882,90,0.36564171122994654,4,2,15,6,101,142,0.3142857142857143,0.4,1
sarashackleton,geraldnemec,0.0,0.0,60,0.0,0,3,15,4,101,22,0.3142857142857143,0.0,1
davidoxley,janetdietrich,0.6236170816490856,0.2222222222222222,30,0.08116883116883117,2,2,6,5,32,28,0.6666666666666666,0.7,1
davidoxley,rosaleefleming,0.0,0.0,6,0.0,0,3,6,1,32,2,0.6666666666666666,0.0,1
davidoxley,barrytycholiz,0.6236170816490856,0.14285714285714285,60,0.08116883116883117,2,2,6,10,32,41,0.6666666666666666,0.17777777777777778,1
davidoxley,kennethlay,2.0147546552389106,0.5714285714285714,30,0.5395021645021645,4,2,6,5,32,34,0.6666666666666666,0.3,1
arsystem,michellecash,0.0,0.0,60,0.0,0,3,6,10,19,30,0.13333333333333333,0.24444444444444444,1
arsystem,jeffdasovich,0.0,0.0,84,0.0,0,3,6,14,19,138,0.13333333333333333,0.12121212121212122,1
arsystem,louisekitchen,0.36067376022224085,0.030303030303030304,168,0.0625,1,2,6,28,19,148,0.13333333333333333,0.11904761904761904,1
arsystem,barrytycholiz,0.3789231816899512,0.06666666666666667,60,0.07142857142857142,1,2,6,10,19,41,0.13333333333333333,0.17777777777777778,1
arsystem,rickbuy,0.0,0.0,36,0.0,0,3,6,6,19,25,0.13333333333333333,0.26666666666666666,1
lauraluce,davidforster,0.3001016285004131,0.2,8,0.03571428571428571,1,2,2,4,18,8,0.0,0.6666666666666666,1
chrisgaskill,scottneal,0.3789231816899512,0.14285714285714285,18,0.07142857142857142,1,2,3,6,7,16,0.3333333333333333,0.6666666666666666,1
chrisgaskill,johnarnold,0.0,0.0,33,0.0,0,3,3,11,7,161,0.3333333333333333,0.2545454545454545,1
frankermis,inarangel,1.000258116249563,0.16666666666666666,40,0.27142857142857146,2,2,4,10,54,154,0.8333333333333334,0.2222222222222222,1
tanyarohauer,lisamellencamp,0.36067376022224085,0.0625,66,0.0625,1,2,11,6,56,25,0.41818181818181815,0.06666666666666667,1
tanyarohauer,tanajones,2.80637813522102,0.4666666666666667,121,0.5809194890077243,7,2,11,11,56,58,0.41818181818181815,0.32727272727272727,1
tanyarohauer,stephaniepanus,2.1038471333780024,0.26666666666666666,88,0.5944444444444444,4,2,11,8,56,59,0.41818181818181815,0.2857142857142857,1
alanaronowitz,brenthendry,1.1870209067132538,0.3333333333333333,36,0.24064171122994654,3,2,6,6,142,9,0.4,0.5333333333333333,1
alanaronowitz,lisamellencamp,0.0,0.0,36,0.0,0,3,6,6,142,25,0.4,0.06666666666666667,1
alanaronowitz,sarashackleton,1.6679192536762417,0.23529411764705882,90,0.36564171122994654,4,2,6,15,142,101,0.4,0.3142857142857143,1
alanaronowitz,brittdavis,0.43429448190325176,0.125,18,0.1,1,2,6,3,142,10,0.4,0.3333333333333333,1
alanaronowitz,jamesderrick,0.43429448190325176,0.1,30,0.1,1,2,6,5,142,19,0.4,0.2,1
johnarnold,stephaniesever,0.4170323914242463,0.08333333333333333,22,0.09090909090909091,1,2,11,2,161,4,0.2545454545454545,0.0,1
johnarnold,chrisgaskill,0.0,0.0,33,0.0,0,3,11,3,161,7,0.2545454545454545,0.3333333333333333,1
brittdavis,lisamellencamp,0.6213349345596119,0.125,18,0.2,1,2,3,6,10,25,0.3333333333333333,0.06666666666666667,1
brittdavis,alanaronowitz,0.43429448190325176,0.125,18,0.1,1,2,3,6,10,142,0.3333333333333333,0.4,1
brittdavis,rickbuy,0.0,0.0,18,0.0,0,3,3,6,10,25,0.3333333333333333,0.26666666666666666,1
gregwhalley,johnambler,0.9102392266268373,0.1,10,0.3333333333333333,1,2,10,1,53,4,0.28888888888888886,0.0,1
michellelokay,kevinhyatt,2.5994721611220526,0.5,54,0.7261904761904762,5,2,9,6,61,23,0.5,0.4666666666666667,1
michellelokay,shelleycorman,1.3642262983078204,0.2727272727272727,45,0.3333333333333333,3,2,9,5,61,20,0.5,0.4,1
michellelokay,jeffdasovich,0.40242960438184466,0.047619047619047616,126,0.08333333333333333,1,2,9,14,61,138,0.5,0.12121212121212122,1
elizabethsager,davidforster,0.3001016285004131,0.05263157894736842,64,0.03571428571428571,1,2,16,4,80,8,0.2,0.6666666666666666,1
elizabethsager,johnlavorato,0.3001016285004131,0.02702702702702703,352,0.03571428571428571,1,2,16,22,80,124,0.2,0.15584415584415584,1
elizabethsager,info,0.36926937306885504,0.05555555555555555,48,0.06666666666666667,1,2,16,3,80,10,0.2,0.0,1
elizabethsager,sallybeck,1.0214491489448947,0.08695652173913043,144,0.2857142857142857,2,2,16,9,80,27,0.2,0.19444444444444445,1
elizabethsager,stephaniepanus,0.7863017644931014,0.09090909090909091,128,0.1575757575757576,2,2,16,8,80,59,0.2,0.2857142857142857,1
kennethlay,raymondbowen,0.6236170816490856,0.18181818181818182,40,0.08116883116883117,2,2,5,8,34,39,0.3,0.2857142857142857,1
kennethlay,elizabethlinnell,0.0,0.0,5,0.0,0,3,5,1,34,4,0.3,0.0,1
