edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,edge_persistence,cc_u_delta,cc_v_delta,label
"('audreyrobertson', 'kevinhyatt')",1.2352458628142324,0.4,12,0.39285714285714285,2,2,1,-0.2666666666666667,-0.2857142857142857,1
"('audreyrobertson', 'tklohman')",1.2352458628142324,0.4,12,0.39285714285714285,2,2,2,-0.2666666666666667,-0.9333333333333333,1
"('audreyrobertson', 'juliearmstrong')",0.0,0.0,16,0.0,0,3,2,-0.2666666666666667,-0.6333333333333334,1
"('mikegrigsby', 'amyfitzpatrick')",0.31066746727980593,0.1111111111111111,24,0.04,1,2,0,-0.125,-0.5,1
"('mikegrigsby', 'chrisgaskill')",0.0,0.0,12,0.0,0,3,2,-0.125,-0.6666666666666666,1
"('mikegrigsby', 'scottneal')",0.0,0.0,24,0.0,0,4,2,-0.125,-0.5,1
"('mikegrigsby', 'frankermis')",1.4683498531780845,0.3333333333333333,12,0.5,2,2,2,-0.125,-0.6666666666666666,1
"('mikegrigsby', 'stephaniesever')",0.0,0.0,12,0.0,0,3,0,-0.125,-1.0,1
"('mikegrigsby', 'timbelden')",0.7657870805932245,0.18181818181818182,42,0.1511111111111111,2,2,0,-0.125,0.042857142857142844,1
"('amyfitzpatrick', 'mikegrigsby')",0.31066746727980593,0.1111111111111111,24,0.04,1,2,0,-0.5,-0.125,1
"('amyfitzpatrick', 'robmilnthorp')",0.31066746727980593,0.2,8,0.04,1,2,0,-0.5,0.0,1
"('amyfitzpatrick', 'davidoxley')",0.7276998587040522,0.18181818181818182,36,0.13090909090909092,2,2,0,-0.5,-0.2111111111111111,1
"('amyfitzpatrick', 'barrytycholiz')",0.0,0.0,24,0.0,0,3,0,-0.5,-0.06666666666666667,1
"('amyfitzpatrick', 'brianredmond')",0.31066746727980593,0.1111111111111111,24,0.04,1,2,0,-0.5,0.13333333333333333,1
"('amyfitzpatrick', 'ericbass')",0.0,0.0,12,0.0,0,5,0,-0.5,-0.4,1
"('amyfitzpatrick', 'timbelden')",0.31066746727980593,0.1,28,0.04,1,2,0,-0.5,0.042857142857142844,1
"('kevinhyatt', 'audreyrobertson')",1.2352458628142324,0.4,12,0.39285714285714285,2,2,1,-0.2857142857142857,-0.2666666666666667,1
"('kevinhyatt', 'lorrainelindberg')",2.677940903703196,0.6,15,0.8928571428571428,3,2,1,-0.2857142857142857,-0.09999999999999998,1
"('kevinhyatt', 'tklohman')",1.2352458628142324,0.5,9,0.39285714285714285,2,2,0,-0.2857142857142857,-0.9333333333333333,1
"('kevinhyatt', 'juliearmstrong')",0.0,0.0,12,0.0,0,3,2,-0.2857142857142857,-0.6333333333333334,1
"('kevinhyatt', 'stevenharris')",0.5138983423697507,0.16666666666666666,12,0.14285714285714285,1,2,2,-0.2857142857142857,0.13636363636363635,1
"('garyhickerson', 'rosaleefleming')",0.0,0.0,8,0.0,0,4,0,1.0,-0.8333333333333334,1
"('samanthaboyd', 'stephaniepanus')",0.0,0.0,12,0.0,0,3,2,-0.8055555555555556,-0.3076923076923077,1
"('samanthaboyd', 'sarashackleton')",0.0,0.0,12,0.0,0,3,2,-0.8055555555555556,-0.23576423576423577,1
"('torikuykendall', 'dutchquigley')",0.0,0.0,28,0.0,0,3,0,-0.6,-0.10000000000000003,1
"('lauraluce', 'inarangel')",0.0,0.0,6,0.0,0,3,0,-1.0,-0.24444444444444446,1
"('lauraluce', 'louisekitchen')",0.6213349345596119,0.04,25,0.2,1,2,2,-1.0,-0.019275362318840583,1
"('lauraluce', 'johnlavorato')",0.0,0.0,9,0.0,0,3,0,-1.0,0.05982905982905984,1
"('kennethlay', 'russelldiamond')",0.0,0.0,12,0.0,0,4,0,-0.08717948717948719,0.0,1
