edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('sheilatweed', 'travismccullough')",0.5581106265512472,0.2,8,0.16666666666666666,1,2,2,4,85,17,1.0,0.0,1
"('sheilatweed', 'elizabethsager')",0.45511961331341866,0.1111111111111111,16,0.1111111111111111,1,2,2,8,85,58,1.0,0.07142857142857142,1
"('tklohman', 'stevenharris')",0.0,0.0,6,0.0,0,3,1,6,2,93,0.0,0.26666666666666666,1
"('tklohman', 'kevinhyatt')",0.7213475204444817,0.2,5,0.25,1,2,1,5,2,44,0.0,0.5,1
"('tklohman', 'lorrainelindberg')",0.7213475204444817,0.25,4,0.25,1,2,1,4,2,14,0.0,0.3333333333333333,1
"('rickbuy', 'shirleycrenshaw')",0.0,0.0,10,0.0,0,3,5,2,59,6,0.0,0.0,1
"('richardshapiro', 'paulkaufman')",1.8119644139578184,0.5,20,0.5666666666666667,3,2,5,4,160,45,0.4,0.3333333333333333,1
"('richardshapiro', 'shelleycorman')",1.0906168935133367,0.2857142857142857,20,0.31666666666666665,2,2,5,4,160,47,0.4,0.5,1
"('richardshapiro', 'rosaleefleming')",0.0,0.0,5,0.0,0,3,5,1,160,6,0.4,0.0,1
"('chrisabel', 'johnlavorato')",0.0,0.0,34,0.0,0,3,2,17,7,246,0.0,0.04411764705882353,1
"('chrisabel', 'sallybeck')",0.6213349345596119,0.09090909090909091,20,0.2,1,2,2,10,7,205,0.0,0.08888888888888889,1
"('keithholst', 'johngriffith')",0.0,0.0,1,0.0,0,4,1,1,6,3,0.0,0.0,1
"('keithholst', 'mikegrigsby')",0.5138983423697507,0.16666666666666666,6,0.14285714285714285,1,2,1,6,6,40,0.0,0.3333333333333333,1
"('stevenharris', 'tklohman')",0.0,0.0,6,0.0,0,3,6,1,93,2,0.26666666666666666,0.0,1
"('stevenharris', 'michellelokay')",0.6213349345596119,0.1111111111111111,24,0.2,1,2,6,4,93,35,0.26666666666666666,0.3333333333333333,1
"('lindydonoho', 'lornabrennan')",0.5581106265512472,0.16666666666666666,10,0.16666666666666666,1,2,5,2,51,20,0.5,0.0,1
"('dutchquigley', 'errolmclaughlin')",0.0,0.0,5,0.0,0,4,1,5,4,48,0.0,0.1,1
"('dutchquigley', 'inarangel')",0.48089834696298783,0.14285714285714285,7,0.125,1,2,1,7,4,48,0.0,0.09523809523809523,1
"('dutchquigley', 'tanajones')",0.0,0.0,16,0.0,0,3,1,16,4,168,0.0,0.175,1
"('paulkaufman', 'richardshapiro')",1.8119644139578184,0.5,20,0.5666666666666667,3,2,4,5,45,160,0.3333333333333333,0.4,1
"('paulkaufman', 'timbelden')",0.36926937306885504,0.14285714285714285,16,0.06666666666666667,1,2,4,4,45,28,0.3333333333333333,0.0,1
"('marieheard', 'elizabethsager')",0.0,0.0,8,0.0,0,3,1,8,10,58,0.0,0.07142857142857142,1
"('kaymann', 'lisamellencamp')",0.45511961331341866,0.125,18,0.1111111111111111,1,2,6,3,258,6,0.06666666666666667,0.3333333333333333,1
"('kaymann', 'elizabethsager')",2.619162174646864,0.2727272727272727,48,0.8611111111111112,3,2,6,8,258,58,0.06666666666666667,0.07142857142857142,1
"('scottneal', 'johngriffith')",0.0,0.0,2,0.0,0,5,2,1,10,3,0.0,0.0,1
"('johnlavorato', 'chrisabel')",0.0,0.0,34,0.0,0,3,17,2,246,7,0.04411764705882353,0.0,1
"('johnlavorato', 'shonawilson')",1.7769769369073454,0.15789473684210525,85,0.55,3,2,17,5,246,98,0.04411764705882353,0.1,1
"('johnlavorato', 'jimschwieger')",0.9947966893327386,0.1111111111111111,51,0.26785714285714285,2,2,17,3,246,13,0.04411764705882353,0.3333333333333333,1
"('kevinhyatt', 'tklohman')",0.7213475204444817,0.2,5,0.25,1,2,5,1,44,2,0.5,0.0,1
"('kevinhyatt', 'lornabrennan')",0.7213475204444817,0.16666666666666666,10,0.25,1,2,5,2,44,20,0.5,0.0,1
"('shelleycorman', 'richardshapiro')",1.0906168935133367,0.2857142857142857,20,0.31666666666666665,2,2,4,5,47,160,0.5,0.4,1
"('jamesderrick', 'karendenne')",0.0,0.0,4,0.0,0,5,1,4,3,93,0.0,0.3333333333333333,1
"('davidport', 'shirleycrenshaw')",0.0,0.0,2,0.0,0,4,1,2,7,6,0.0,0.0,1
"('davidport', 'sallybeck')",0.0,0.0,10,0.0,0,3,1,10,7,205,0.0,0.08888888888888889,1
"('shonawilson', 'johnlavorato')",1.7769769369073454,0.15789473684210525,85,0.55,3,2,5,17,98,246,0.1,0.04411764705882353,1
"('juliearmstrong', 'michellelokay')",0.0,0.0,8,0.0,0,3,2,4,10,35,0.0,0.3333333333333333,1
"('juliearmstrong', 'lorrainelindberg')",0.5138983423697507,0.2,8,0.14285714285714285,1,2,2,4,10,14,0.0,0.3333333333333333,1
"('psellers', 'cameron')",1.0906168935133367,0.6666666666666666,6,0.31666666666666665,2,2,2,3,6,52,1.0,1.0,1
"('timbelden', 'paulkaufman')",0.36926937306885504,0.14285714285714285,16,0.06666666666666667,1,2,4,4,28,45,0.0,0.3333333333333333,1
"('timbelden', 'gregwhalley')",0.35295612386476116,0.1,28,0.058823529411764705,1,2,4,7,28,79,0.0,0.38095238095238093,1
"('timbelden', 'sarahnovosel')",0.36926937306885504,0.14285714285714285,16,0.06666666666666667,1,2,4,4,28,100,0.0,0.6666666666666666,1
