edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('chrisgaskill', 'keithholst')",0.0,0.0,1,0.0,0,4,1,1,5,6,0.0,0.0,1
"('chrisgaskill', 'gregwhalley')",0.0,0.0,5,0.0,0,3,1,5,5,24,0.0,0.2,1
"('chrisgaskill', 'mikegrigsby')",0.0,0.0,6,0.0,0,3,1,6,5,39,0.0,0.13333333333333333,1
"('chrisgaskill', 'janetdietrich')",0.0,0.0,1,0.0,0,4,1,1,5,2,0.0,0.0,1
"('sheilatweed', 'michellecash')",0.0,0.0,6,0.0,0,5,3,2,56,2,0.6666666666666666,0.0,1
"('rickbuy', 'janetdietrich')",0.0,0.0,6,0.0,0,3,6,1,39,2,0.13333333333333333,0.0,1
"('richardshapiro', 'timbelden')",0.7959555731141975,0.14285714285714285,63,0.16233766233766234,2,2,9,7,272,13,0.16666666666666666,0.14285714285714285,1
"('chrisabel', 'davidport')",0.5581106265512472,0.2,8,0.16666666666666666,1,2,4,2,56,3,0.3333333333333333,0.0,1
"('chrisabel', 'tanajones')",0.0,0.0,84,0.0,0,3,4,21,56,349,0.3333333333333333,0.15714285714285714,1
"('keithholst', 'chrisgaskill')",0.0,0.0,1,0.0,0,4,1,1,6,5,0.0,0.0,1
"('stuartzisman', 'johnlavorato')",0.0,0.0,14,0.0,0,4,1,14,26,103,0.0,0.13186813186813187,1
"('stuartzisman', 'louisekitchen')",0.0,0.0,11,0.0,0,4,1,11,26,45,0.0,0.14545454545454545,1
"('michellecash', 'sheilatweed')",0.0,0.0,6,0.0,0,5,2,3,2,56,0.0,0.6666666666666666,1
"('michellecash', 'alanaronowitz')",0.0,0.0,6,0.0,0,5,2,3,2,51,0.0,0.3333333333333333,1
"('michellecash', 'juliamurray')",0.0,0.0,4,0.0,0,5,2,2,2,8,0.0,0.0,1
"('stevenharris', 'rodhayslett')",0.0,0.0,10,0.0,0,-1,5,2,9,2,0.4,0.0,1
"('marieheard', 'edwardsacks')",0.7073819204430023,0.2222222222222222,24,0.11904761904761904,2,2,3,8,22,30,0.6666666666666666,0.32142857142857145,1
"('marieheard', 'stephaniepanus')",1.162501533756421,0.42857142857142855,21,0.23015873015873015,3,2,3,7,22,48,0.6666666666666666,0.5238095238095238,1
"('marieheard', 'tanyarohauer')",1.162501533756421,0.6,15,0.23015873015873015,3,2,3,5,22,33,0.6666666666666666,0.6,1
"('marieheard', 'susanbailey')",1.162501533756421,0.5,18,0.23015873015873015,3,2,3,6,22,41,0.6666666666666666,0.5333333333333333,1
"('marieheard', 'marycook')",0.7073819204430023,0.2,27,0.11904761904761904,2,2,3,9,22,101,0.6666666666666666,0.4166666666666667,1
"('scottneal', 'johnarnold')",0.8340427950033699,0.13333333333333333,66,0.18253968253968253,2,2,6,11,40,200,0.06666666666666667,0.2,1
"('johnlavorato', 'stuartzisman')",0.0,0.0,14,0.0,0,4,14,1,103,26,0.13186813186813187,0.0,1
"('johnlavorato', 'davidport')",0.5581106265512472,0.06666666666666667,28,0.16666666666666666,1,2,14,2,103,3,0.13186813186813187,0.0,1
"('johnlavorato', 'mikegrigsby')",0.6213349345596119,0.05263157894736842,84,0.2,1,2,14,6,103,39,0.13186813186813187,0.13333333333333333,1
"('johnlavorato', 'arsystem')",1.072008968920998,0.1111111111111111,84,0.30952380952380953,2,2,14,6,103,104,0.13186813186813187,0.13333333333333333,1
"('johnlavorato', 'sallybeck')",1.1352332769293625,0.1111111111111111,84,0.34285714285714286,2,2,14,6,103,12,0.13186813186813187,0.0,1
