edge,adamic_adar,jaccard,preferential_attachment,label
"('chrisgermany', 'scottneal')",0.0,0.0,1,1
"('chrisgermany', 'kamkeiser')",0.0,0.0,1,1
"('scottneal', 'chrisgermany')",0.0,0.0,1,1
"('scottneal', 'kamkeiser')",0.0,0.0,1,1
"('michellelokay', 'lindydonoho')",0.9102392266268373,0.125,14,1
"('davidbaumbach', 'sallybeck')",0.0,0.0,26,1
"('matthewlenhart', 'inarangel')",1.424137568996588,0.25,25,1
"('gregwhalley', 'sallybeck')",1.5959196230364734,0.2,65,1
"('gregwhalley', 'andyzipper')",1.1764671337579005,0.3333333333333333,15,1
"('shonawilson', 'lesliereeves')",0.3898712452512801,0.3333333333333333,3,1
"('shonawilson', 'louisekitchen')",0.3898712452512801,0.2,9,1
"('juliearmstrong', 'sallybeck')",0.0,0.0,26,1
"('juliearmstrong', 'jeffdasovich')",0.0,0.0,24,1
"('cameron', 'nancysellers')",0.40242960438184466,0.5,2,1
"('cameron', 'eldon')",0.40242960438184466,0.5,2,1
"('gregjohnston', 'marycook')",0.33380820069533407,0.16666666666666666,12,1
"('stephaniepanus', 'susanbailey')",0.7362378050771787,0.5,9,1
"('stephaniepanus', 'samanthaboyd')",1.4575853255216604,0.6,15,1
"('stephaniepanus', 'edwardsacks')",0.40242960438184466,0.3333333333333333,3,1
"('stephaniepanus', 'stewartrosman')",0.40242960438184466,0.3333333333333333,3,1
"('stephaniepanus', 'laureladams')",0.7362378050771787,0.4,12,1
"('stephaniepanus', 'russelldiamond')",0.40242960438184466,0.25,6,1
"('ericbass', 'jimschwieger')",0.0,0.0,6,1
"('davidoxley', 'brianredmond')",0.36067376022224085,0.5,2,1
"('kevinhyatt', 'shelleycorman')",0.7213475204444817,0.125,20,1
"('kevinhyatt', 'audreyrobertson')",0.5138983423697507,0.14285714285714285,15,1
"('mikegrigsby', 'jayreitmeyer')",0.6213349345596119,0.14285714285714285,7,1
"('brenthendry', 'marycook')",1.3575727396367907,0.6,16,1
"('brenthendry', 'elizabethsager')",0.0,0.0,32,1
"('barrytycholiz', 'inarangel')",0.5138983423697507,0.2,5,1
"('barrytycholiz', 'geraldnemec')",0.0,0.0,1,1
"('marycook', 'gregjohnston')",0.33380820069533407,0.16666666666666666,12,1
"('marycook', 'brenthendry')",1.3575727396367907,0.6,16,1
"('marycook', 'lisamellencamp')",0.0,0.0,8,1
"('marycook', 'peterkeohane')",0.33380820069533407,0.16666666666666666,12,1
"('travismccullough', 'rickbuy')",0.0,0.0,8,1
"('travismccullough', 'andyzipper')",0.0,0.0,12,1
"('sallybeck', 'davidbaumbach')",0.0,0.0,26,1
"('sallybeck', 'gregwhalley')",1.5959196230364734,0.2,65,1
"('sallybeck', 'juliearmstrong')",0.0,0.0,26,1
"('chrisabel', 'errolmclaughlin')",0.0,0.0,18,1
"('torikuykendall', 'stephaniesever')",0.0,0.0,4,1
"('torikuykendall', 'pattisullivan')",0.5138983423697507,0.5,2,1
"('susanbailey', 'stephaniepanus')",0.7362378050771787,0.5,9,1
"('susanbailey', 'laureladams')",0.7362378050771787,0.4,12,1
"('susanbailey', 'russelldiamond')",0.40242960438184466,0.25,6,1
"('errolmclaughlin', 'chrisabel')",0.0,0.0,18,1
"('errolmclaughlin', 'mikemaggi')",0.9102392266268373,0.3333333333333333,12,1
"('janetdietrich', 'rickbuy')",0.36067376022224085,0.5,2,1
"('janetdietrich', 'davidport')",0.0,0.0,2,1
"('jimschwieger', 'ericbass')",0.0,0.0,6,1
"('rosaleefleming', 'jeffdasovich')",0.6213349345596119,0.08333333333333333,12,1
"('shelleycorman', 'kevinhyatt')",0.7213475204444817,0.125,20,1
"('debraperlingiere', 'edwardsacks')",0.0,0.0,1,1
"('debraperlingiere', 'geraldnemec')",0.0,0.0,1,1
"('lorrainelindberg', 'drewfossum')",0.6213349345596119,0.14285714285714285,16,1
"('rickbuy', 'travismccullough')",0.0,0.0,8,1
"('rickbuy', 'janetdietrich')",0.36067376022224085,0.5,2,1
"('samanthaboyd', 'stephaniepanus')",1.4575853255216604,0.6,15,1
"('samanthaboyd', 'christianyoder')",0.0,0.0,10,1
"('samanthaboyd', 'russelldiamond')",0.40242960438184466,0.16666666666666666,10,1
"('sarashackleton', 'christianyoder')",0.0,0.0,24,1
"('sarashackleton', 'sheilaglover')",0.0,0.0,12,1
"('nancysellers', 'cameron')",0.40242960438184466,0.5,2,1
"('stuartzisman', 'elizabethsager')",0.5581106265512472,0.125,8,1
"('christianyoder', 'samanthaboyd')",0.0,0.0,10,1
"('christianyoder', 'sarashackleton')",0.0,0.0,24,1
"('christianyoder', 'jeffdasovich')",0.5138983423697507,0.07692307692307693,24,1
"('christianyoder', 'richardshapiro')",0.0,0.0,10,1
"('christianyoder', 'elizabethsager')",0.0,0.0,16,1
"('marcusnettelton', 'tanajones')",0.40242960438184466,0.047619047619047616,40,1
"('audreyrobertson', 'kevinhyatt')",0.5138983423697507,0.14285714285714285,15,1
"('kamkeiser', 'chrisgermany')",0.0,0.0,1,1
"('kamkeiser', 'scottneal')",0.0,0.0,1,1
"('davidforster', 'johnarnold')",1.8653823618817833,0.3,36,1
"('keithholst', 'louisekitchen')",0.0,0.0,6,1
"('lesliereeves', 'shonawilson')",0.3898712452512801,0.3333333333333333,3,1
"('mikemaggi', 'errolmclaughlin')",0.9102392266268373,0.3333333333333333,12,1
"('mikemaggi', 'stephaniesever')",0.45511961331341866,0.3333333333333333,4,1
"('karendenne', 'richardshapiro')",0.40242960438184466,0.16666666666666666,10,1
"('inarangel', 'matthewlenhart')",1.424137568996588,0.25,25,1
"('inarangel', 'barrytycholiz')",0.5138983423697507,0.2,5,1
"('inarangel', 'jayreitmeyer')",0.0,0.0,5,1
"('inarangel', 'johnlavorato')",0.45511961331341866,0.05,80,1
"('louisekitchen', 'shonawilson')",0.3898712452512801,0.2,9,1
"('louisekitchen', 'keithholst')",0.0,0.0,6,1
"('louisekitchen', 'brianredmond')",0.0,0.0,6,1
"('edwardsacks', 'stephaniepanus')",0.40242960438184466,0.3333333333333333,3,1
"('edwardsacks', 'debraperlingiere')",0.0,0.0,1,1
"('stewartrosman', 'stephaniepanus')",0.40242960438184466,0.3333333333333333,3,1
"('stewartrosman', 'elizabethsager')",0.0,0.0,8,1
"('geraldnemec', 'barrytycholiz')",0.0,0.0,1,1
"('geraldnemec', 'debraperlingiere')",0.0,0.0,1,1
"('geraldnemec', 'russelldiamond')",0.0,0.0,2,1
"('johnarnold', 'davidforster')",1.8653823618817833,0.3,36,1
"('laureladams', 'stephaniepanus')",0.7362378050771787,0.4,12,1
"('laureladams', 'susanbailey')",0.7362378050771787,0.4,12,1
"('tanajones', 'marcusnettelton')",0.40242960438184466,0.047619047619047616,40,1
"('tanajones', 'russelldiamond')",0.40242960438184466,0.047619047619047616,40,1
"('tanajones', 'lisamellencamp')",0.0,0.0,40,1
"('tanajones', 'kaymann')",0.7213475204444817,0.04,120,1
"('davidport', 'janetdietrich')",0.0,0.0,2,1
"('sheilaglover', 'sarashackleton')",0.0,0.0,12,1
"('russelldiamond', 'stephaniepanus')",0.40242960438184466,0.25,6,1
"('russelldiamond', 'susanbailey')",0.40242960438184466,0.25,6,1
"('russelldiamond', 'samanthaboyd')",0.40242960438184466,0.16666666666666666,10,1
"('russelldiamond', 'geraldnemec')",0.0,0.0,2,1
"('russelldiamond', 'tanajones')",0.40242960438184466,0.047619047619047616,40,1
"('russelldiamond', 'peterkeohane')",0.0,0.0,6,1
"('jayreitmeyer', 'mikegrigsby')",0.6213349345596119,0.14285714285714285,7,1
"('jayreitmeyer', 'inarangel')",0.0,0.0,5,1
"('lisamellencamp', 'marycook')",0.0,0.0,8,1
"('lisamellencamp', 'tanajones')",0.0,0.0,40,1
"('jeffdasovich', 'juliearmstrong')",0.0,0.0,24,1
"('jeffdasovich', 'rosaleefleming')",0.6213349345596119,0.08333333333333333,12,1
"('jeffdasovich', 'christianyoder')",0.5138983423697507,0.07692307692307693,24,1
"('jeffdasovich', 'drewfossum')",0.7213475204444817,0.06666666666666667,48,1
"('richardshapiro', 'christianyoder')",0.0,0.0,10,1
"('richardshapiro', 'karendenne')",0.40242960438184466,0.16666666666666666,10,1
"('lindydonoho', 'michellelokay')",0.9102392266268373,0.125,14,1
"('eldon', 'cameron')",0.40242960438184466,0.5,2,1
"('drewfossum', 'lorrainelindberg')",0.6213349345596119,0.14285714285714285,16,1
"('drewfossum', 'jeffdasovich')",0.7213475204444817,0.06666666666666667,48,1
"('andyzipper', 'gregwhalley')",1.1764671337579005,0.3333333333333333,15,1
"('andyzipper', 'travismccullough')",0.0,0.0,12,1
"('peterkeohane', 'marycook')",0.33380820069533407,0.16666666666666666,12,1
"('peterkeohane', 'russelldiamond')",0.0,0.0,6,1
"('brianredmond', 'davidoxley')",0.36067376022224085,0.5,2,1
"('brianredmond', 'louisekitchen')",0.0,0.0,6,1
"('kaymann', 'tanajones')",0.7213475204444817,0.04,120,1
"('stephaniesever', 'torikuykendall')",0.0,0.0,4,1
"('stephaniesever', 'mikemaggi')",0.45511961331341866,0.3333333333333333,4,1
"('pattisullivan', 'torikuykendall')",0.5138983423697507,0.5,2,1
"('johnlavorato', 'inarangel')",0.45511961331341866,0.05,80,1
"('elizabethsager', 'brenthendry')",0.0,0.0,32,1
